BIH,BIH,Bogota Casa Medina,Bogota Casa Medina - Castanyoles,Americas,Restaurant,,0,0,0,0,0,0,1,1,1,65.6,2,Jan-18,100,
BKU,BKU,Baku,Baku - Bentley's Bar,EMEA,Bar,,1,1,0,1,1,0.8,1,1,1,80.4,2,Jan-18,100,
BKU,BKU,Baku,Baku - Piazza Lounge,EMEA,Bar,,1,1,0,0,1,0.6,1,1,1,80.4,2,Jan-18,100,
BKU,BKU,Baku,Baku - Zafferano Restaurant,EMEA,Restaurant,,1,1,0,0,1,0.6,1,1,1,80.4,2,Jan-18,100,
BLT,BLT,Baltimore,Baltimore - Wit & Wisdom,Americas,Restaurant,,1,1,1,1,1,1,1,1,0.8,83.2,1,Jan-10,100,
BLT,BLT,Baltimore,Baltimore - Wit & Wisdom Bar,Americas,Bar,,1,1,1,1,1,1,1,1,0.8,83.2,1,Jan-10,100,
BOC,BOC,Bahamas Ocean Club,Bahamas Ocean Club - Dune,Americas,Restaurant,,1,1,1,1,1,1,1,1,0.8,30.1,1,Jan-10,100,
BOC,BOC,Bahamas Ocean Club,Bahamas Ocean Club - Dune Bar,Americas,Bar,,1,1,1,1,1,1,1,1,0.8,30.1,1,Jan-10,100,
BOC,BOC,Bahamas Ocean Club,Bahamas Ocean Club - Martini Bar and Lounge,Americas,Bar,,1,1,0,0,0,0.4,1,1,0.8,30.1,1,Jan-10,100,
BOC,BOC,Bahamas Ocean Club,Bahamas Ocean Club - Ocean,Americas,Restaurant,,0,0,0,0,0,0,1,1,0.8,30.1,1,Jan-10,100,
BOP,BOP,Istanbul - Bosphorus,Istanbul - Bosphorus - Aqua,EMEA,Restaurant,,0,0,0,0,0,0,1,1,0.8,79,1,Jan-10,100,
BOP,BOP,Istanbul - Bosphorus,Istanbul - Bosphorus - Lounge,EMEA,Bar,,1,0,0,0,1,0.4,0,1,0.2,79,2,Jan-18,100,
BOR,BOR,Bora Bora,Bora Bora - Arii Moana,Americas,Restaurant,,0,1,0,0,0,0.2,1,1,0.8,80.2,1,Jan-10,100,
BOR,BOR,Bora Bora,Bora Bora - Fare Hoa,Americas,Bar,,0,1,0,0,0,0.2,1,1,1,80.2,2,Jan-18,100,
BOR,BOR,Bora Bora,Bora Bora - Sunset Bar,Americas,Bar,,0,1,0,0,0,0.2,1,1,0.8,80.2,1,Jan-10,100,
BOR,BOR,Bora Bora,Bora Bora - Tere Nui,Americas,Restaurant,,0,1,0,0,0,0.2,1,1,0.8,80.2,1,Jan-10,100,
BOS,BOS,Boston,Boston - Bristol,Americas,Restaurant,,0,0,0,0,0,0,1,1,0.8,79.3,1,Jan-10,100,
BOS,BOS,Boston,Boston - Bristol Bar,Americas,Bar,,0,0,0,0,0,0,1,1,0.8,79.3,1,Jan-10,100,
BUD,BUD,Budapest,Budapest - Kollazs,EMEA,Restaurant,,1,1,1,1,1,1,1,1,1,88.3,2,Jan-18,100,
BUD,BUD,Budapest,Budapest - Kollazs Bar,EMEA,Bar,,1,1,1,1,1,1,1,1,1,88.3,2,Jan-18,100,
BUD,BUD,Budapest,Budapest - Lobby Bar,EMEA,Bar,,1,0,0,1,1,0.6,1,1,1,88.3,0,Jan-00,100,
